Restaurant_Name,Locality,Sponsored,Ratings_out_of_5,Number of votes,Cuisines,Charges_for_two,payment_modes,Rest_timming,5_star_review_percentage,4_star_review_percentage,3_star_review_percentage,2_star_review_percentage,1_star_review_percentage
Lager Street - Lounge and Bar,Balewadi,Lounge,4,Based on 168 votes,"Bar Food, Continental, Italian, North Indian","₹1,500",Cash and Cards accepted,12noon – 12:30am,62%,18%,7%,3%,10%
Deewan Khana,Balewadi,"Casual Dining, Bar",4.1,262  votes,"Seafood, Maharashtrian","₹1,400","Cash,Cards and Digital Payments accepted",11am – 12midnight,53%,28%,6%,3%,10%
D'nozzo Chinese Food Hub,Balewadi,"Takeaway, Delivery",3.7,Based on 66 votes,Chinese,Not Present,"Cash,Cards and Digital Payments accepted","12noon – 3:30pm, 6:30pm – 12midnight",91%,6%,3%,0%,0%
Zura Sizzler Kitchen,Balewadi,Casual Dining,0,0,"Continental, Asian, Beverages","₹1,500",Cash and Cards accepted,"12:01pm – 3:30pm, 7pm – 11pm",0,0,0,0,0
Nirvighnam,Balewadi,Casual Dining,3.6,81  votes,"North Indian, South Indian",₹700,Cash and Cards accepted,"8:30am – 3:30pm, 7pm – 11:30pm",81%,11%,2%,1%,5%
Zayka,Balewadi,Quick Bites,0,0,"Fast Food, Chinese, North Indian",₹400,Cash only,"12noon – 4pm, 7pm – 3am",0,0,0,0,0
Reddy's Restaurant,Balewadi,Quick Bites,3.9,Based on 42 votes,"North Indian, Chinese",₹400,"Cash,Cards and Digital Payments accepted","11am – 4pm, 6:30pm – 12:30am",86%,10%,2%,2%,0%
B Box,Balewadi,"Takeaway, Delivery",4.3,Based on 70 votes,Biryani,Not Present,Cash and Digital Payments accepted,12noon – 12midnight,92%,1%,4%,0%,3%
The Pasta Bistro,Balewadi,Quick Bites,3.5,56  votes,"Italian, Beverages, Desserts",₹400,Cash and Digital Payments accepted,1pm – 2am,68%,13%,2%,4%,13%
Rolls Eat,Balewadi,Quick Bites,0,0,Rolls,₹200,Cash only,11am – 11pm,0,0,0,0,0
Two Sticks,Balewadi,Casual Dining,4.1,684  votes,"Chinese, Thai, Japanese, Tibetan",₹800,"Cash,Cards and Digital Payments accepted","12noon – 3:30pm, 7pm – 11:30pm",46%,30%,9%,6%,9%
Kulfi House,Balewadi,Dessert Parlor,3.7,59  votes,"Ice Cream, Desserts, Beverages",₹250,"Cash,Cards and Digital Payments accepted",11:30am – 11:30pm,67%,20%,8%,0%,5%
Udta Punjab,Balewadi,Casual Dining,3.6,136  votes,"North Indian, Chinese",₹500,"Cash,Cards and Digital Payments accepted",11am – 12midnight,37%,23%,11%,8%,21%
Creaminal Treats,Balewadi,Dessert Parlor,4.1,205  votes,"Desserts, Beverages, Ice Cream, Fast Food",₹300,Cash only,2:30pm – 2am,68%,20%,5%,2%,5%
The Food Gym,Balewadi,Quick Bites,3.4,Based on 8 votes,"Healthy Food, Sandwich, Beverages",₹450,"Cash,Cards and Digital Payments accepted","8am – 12noon, 5pm – 9pm",75%,25%,0%,0%,0%
